Sıcaklık,Nem,Işık,Toprak_Nemi,Yağmur,Fan_Durumu,Pompa_Durumu,Led_Durumu,Isıtıcı_Durumu
19.7,38,1287,83,0,0,0,1,0
28.9,62,3046,98,0,1,0,0,0
31.5,41,11986,70,1,1,0,0,0
35.7,39,855,62,0,1,0,1,0
27.2,73,13181,57,0,0,0,0,0
32.3,63,5382,27,0,1,1,0,0
33.6,52,2254,98,0,1,0,1,0
10.4,68,8543,66,1,0,0,0,1
24.8,91,11036,21,0,0,1,0,0
34.1,73,4986,71,1,1,0,0,0
21.6,44,459,32,0,0,1,1,0
28.5,90,14468,39,1,1,1,0,0
35.7,60,6674,43,1,1,0,0,0
36.2,41,893,14,0,1,1,1,0
29.8,53,11117,70,1,1,0,0,0
35.2,57,12318,59,0,1,0,0,0
21.2,69,14801,21,0,0,1,0,0
26.6,68,12057,78,1,0,0,0,0
35.8,54,14768,32,0,1,1,0,0
18.6,30,8183,22,0,0,1,0,0
32.9,69,5803,69,1,1,0,0,0
25.5,52,13816,89,0,0,0,0,0
13.3,65,8016,22,0,0,1,0,1
11.6,51,3221,44,1,0,0,0,1
18.1,57,5141,78,1,0,0,0,0
19.1,66,1031,30,0,0,1,1,0
30.0,40,14202,15,0,1,1,0,0
19.8,81,13986,94,1,0,0,0,0
36.4,59,1016,74,0,1,0,1,0
36.0,74,13357,37,0,1,1,0,0
12.3,79,11463,100,1,0,0,0,1
25.7,80,3796,90,1,1,0,0,0
13.6,88,9222,62,0,0,0,0,1
23.9,62,8884,28,0,0,1,0,0
30.4,94,412,28,1,1,1,1,0
23.4,52,14252,41,0,0,0,0,0
27.2,93,1429,48,0,1,0,1,0
36.6,80,12723,53,1,1,0,0,0
35.2,71,11821,14,1,1,1,0,0
34.3,30,8988,24,1,1,1,0,0
15.0,50,3802,17,1,0,1,0,1
36.3,52,3317,22,0,1,1,0,0
21.3,79,13149,78,1,0,0,0,0
39.2,36,2165,59,0,1,0,1,0
12.0,30,11680,12,1,0,1,0,1
26.2,82,12348,97,0,1,0,0,0
23.0,46,3695,32,0,0,1,0,0
37.2,54,3181,87,1,1,0,0,0
21.7,38,7749,83,0,0,0,0,0
15.2,50,7490,85,1,0,0,0,1
18.7,65,12988,91,1,0,0,0,0
30.2,87,3707,63,1,1,0,0,0
31.3,46,4497,50,0,1,0,0,0
37.7,50,10497,20,1,1,1,0,0
39.1,59,3387,98,0,1,0,0,0
23.4,72,14818,80,0,0,0,0,0
14.3,94,6508,39,1,0,1,0,1
23.9,49,232,27,1,0,1,1,0
28.1,34,4073,57,1,1,0,0,0
23.4,82,7620,13,0,0,1,0,0
32.9,59,8832,71,1,1,0,0,0
12.4,42,9227,14,0,0,1,0,1
22.4,63,587,60,1,0,0,1,0
35.7,65,4324,49,1,1,0,0,0
34.1,76,8163,29,1,1,1,0,0
26.6,92,14594,30,1,1,1,0,0
33.8,62,10043,69,1,1,0,0,0
22.8,67,4948,54,0,0,0,0,0
23.5,81,7232,98,0,0,0,0,0
38.7,58,582,67,0,1,0,1,0
37.4,39,12828,88,0,1,0,0,0
28.6,87,10823,87,0,1,0,0,0
16.4,74,14941,95,0,0,0,0,1
27.6,52,790,33,0,0,1,1,0
24.8,47,187,63,0,0,0,1,0
22.9,60,8380,60,0,0,0,0,0
10.0,57,5797,19,0,0,1,0,1
18.0,78,11570,82,1,0,0,0,0
31.4,33,4282,31,0,1,1,0,0
16.3,36,2196,99,1,0,0,1,1
29.9,71,8155,43,1,1,0,0,0
25.9,57,13778,41,1,0,0,0,0
35.7,49,6046,63,1,1,0,0,0
